id_venda;produto_id;cliente_id;quantidade;data_venda;observacao
V000062;13;13;4.0;2024-10-13 15:34:00;
V000063;15;15;3.0;2024-10-29 08:40:00;Cliente solicitou nota fiscal com CNPJ
V000064;8;1;2.0;2024-11-23 08:01:00;Entrega expressa solicitada
V000065;13;4;4.0;2024-12-13 14:01:00;Cliente solicitou nota fiscal com CNPJ
V000066;6;15;2.0;2024-08-06 08:31:00;
V000067;4;3;5.0;2024-09-21 20:05:00;Produto com defeito, aguardando troca
V000068;14;12;3.0;2024-12-06 13:12:00;Produto com defeito, aguardando troca
V000069;5;14;2.0;2024-08-10 14:52:00;
V000070;2;8;3.0;2024-11-24 21:54:00;
V000071;14;11;5.0;2024-08-20 11:40:00;Cliente pediu embalagem para presente
V000072;4;9;4.0;2024-11-25 15:38:00;
V000073;2;11;4.0;2024-08-16 22:47:00;Endereço de entrega divergente do cadastro
V000074;11;19;4.0;2024-12-19 10:15:00;Cliente solicitou nota fiscal com CNPJ
V000075;5;15;1.0;2024-10-16 11:52:00;Cliente solicitou nota fiscal com CNPJ
V000076;12;15;1.0;2024-12-11 16:20:00;
V000077;3;5;5.0;2024-12-24 09:38:00;Produto com defeito, aguardando troca
V000078;10;2;1.0;2024-08-11 21:07:00;Endereço de entrega divergente do cadastro
V000079;8;14;1.0;2024-08-08 21:14:00;Cliente pediu embalagem para presente
V000080;11;17;4.0;2024-09-20 14:11:00;Compra feita via aplicação promocional
V000081;9;11;3.0;2024-10-01 08:37:00;
V000082;4;19;2.0;2024-11-22 20:05:00;Cliente solicitou nota fiscal com CNPJ
V000083;9;4;5.0;2024-10-19 16:18:00;Compra feita via aplicação promocional
V000084;2;15;3.0;2024-11-28 08:09:00;Endereço de entrega divergente do cadastro
V000085;4;9;2.0;2024-08-23 10:10:00;
V000086;15;15;1.0;2024-12-11 15:38:00;
V000087;6;7;2.0;2024-10-25 19:52:00;Produto com defeito, aguardando troca
V000088;11;9;4.0;2024-08-10 12:11:00;
V000089;5;8;1.0;2024-10-17 21:04:00;Entrega expressa solicitada
V000090;9;16;1.0;2024-12-10 22:20:00;Compra feita via aplicação promocional
V000091;1;18;2.0;2024-10-11 22:28:00;Entrega expressa solicitada
V000092;3;13;3.0;2024-09-13 09:16:00;Compra feita via aplicação promocional
V000093;6;7;4.0;2024-11-14 11:38:00;Entrega expressa solicitada
V000094;3;6;1.0;2024-11-05 15:54:00;
V000095;3;4;3.0;2024-08-05 13:36:00;
V000096;12;5;2.0;2024-08-18 15:04:00;Cliente solicitou nota fiscal com CNPJ
V000097;7;17;3.0;2024-10-21 08:50:00;Entrega expressa solicitada
V000098;3;4;1.0;2024-09-02 16:11:00;
V000099;12;8;2.0;2024-08-28 18:44:00;
V000100;10;18;3.0;2024-09-04 18:13:00;
V000101;15;4;1.0;2024-08-29 22:17:00;Cliente solicitou nota fiscal com CNPJ
V000102;4;13;4.0;2024-12-02 11:07:00;
V000103;2;13;5.0;2024-12-11 09:49:00;
V000104;5;14;2.0;2024-12-26 21:53:00;Compra feita via aplicação promocional
V000105;8;6;4.0;2024-10-21 13:41:00;Produto com defeito, aguardando troca
V000106;13;17;5.0;2024-09-25 13:05:00;Endereço de entrega divergente do cadastro
V000107;8;5;2.0;2024-08-13 21:34:00;
V000108;11;7;3.0;2024-08-11 20:58:00;
V000109;13;6;1.0;2024-08-09 12:26:00;Entrega expressa solicitada
V000110;9;6;3.0;2024-09-03 20:35:00;Entrega expressa solicitada
V000111;13;4;4.0;2024-09-22 11:58:00;
V000112;2;9;1.0;2024-10-31 08:11:00;Cliente pediu embalagem para presente
V000113;7;10;2.0;2024-12-13 11:47:00;Compra feita via aplicação promocional
V000114;3;15;4.0;2024-11-25 08:58:00;
V000115;6;13;3.0;2024-09-14 12:40:00;Produto com defeito, aguardando troca
V000116;4;20;4.0;2024-10-03 12:21:00;
V000117;8;10;2.0;2024-12-29 18:49:00;
V000118;9;14;4.0;2024-11-05 12:09:00;Compra feita via aplicação promocional
V000119;15;18;3.0;2024-11-10 08:59:00;Cliente solicitou nota fiscal com CNPJ
V000120;15;9;3.0;2024-08-17 12:13:00;Cliente pediu embalagem para presente
V000121;6;16;1.0;2024-10-06 17:06:00;
V000122;6;11;1.0;2024-12-01 09:28:00;
V000123;13;5;4.0;2024-10-26 21:15:00;
V000124;10;2;3.0;2024-09-04 20:12:00;Entrega expressa solicitada
V000125;13;18;4.0;2024-08-06 16:02:00;Compra feita via aplicação promocional
V000126;10;20;1.0;2024-12-06 20:37:00;Cliente solicitou nota fiscal com CNPJ
V000127;3;12;4.0;2024-09-14 09:09:00;Entrega expressa solicitada
V000128;6;5;5.0;2024-11-07 18:39:00;
V000129;10;19;5.0;2024-12-04 19:15:00;
V000130;13;12;4.0;2024-10-29 12:00:00;Entrega expressa solicitada
V000131;8;4;5.0;2024-09-25 08:53:00;Cliente solicitou nota fiscal com CNPJ
V000132;9;7;3.0;2024-10-08 09:31:00;Endereço de entrega divergente do cadastro
V000133;2;12;3.0;2024-09-12 11:43:00;
V000134;4;12;3.0;2024-11-25 20:37:00;Produto com defeito, aguardando troca
V000135;12;5;1.0;2024-09-11 22:05:00;
V000136;6;5;1.0;2024-12-12 12:00:00;
V000137;14;10;2.0;2024-08-02 09:01:00;
V000138;14;17;1.0;2024-11-30 10:07:00;Cliente pediu embalagem para presente
V000139;11;20;3.0;2024-09-24 17:13:00;
V000140;11;17;1.0;2024-10-16 21:25:00;
V000141;15;1;2.0;2024-12-08 12:12:00;
V000142;14;12;2.0;2024-09-14 13:56:00;Endereço de entrega divergente do cadastro
V000143;9;6;2.0;2024-11-20 10:25:00;
V000144;2;7;1.0;2024-12-13 08:56:00;Produto com defeito, aguardando troca
V000145;9;15;1.0;2024-12-19 17:45:00;
V000146;2;7;4.0;2024-10-02 20:33:00;Endereço de entrega divergente do cadastro
V000147;15;7;4.0;2024-08-17 22:54:00;Compra feita via aplicação promocional
V000148;15;2;5.0;2024-10-08 13:01:00;
V000149;13;12;5.0;2024-12-17 13:14:00;
V000150;11;6;4.0;2024-12-13 17:32:00;
V000151;13;13;2.0;2024-09-10 14:24:00;Cliente pediu embalagem para presente
V000152;2;13;4.0;2024-09-10 11:40:00;Cliente pediu embalagem para presente
V000153;11;7;1.0;2024-09-18 20:21:00;
V000154;1;17;3.0;2024-10-05 21:52:00;
V000155;2;12;2.0;2024-09-03 22:35:00;Endereço de entrega divergente do cadastro
V000156;14;10;2.0;2024-11-24 10:53:00;
V000157;11;20;5.0;2024-10-24 22:59:00;Cliente solicitou nota fiscal com CNPJ
V000158;8;18;3.0;2024-11-25 08:59:00;Produto com defeito, aguardando troca
V000159;4;9;3.0;2024-10-31 08:15:00;Compra feita via aplicação promocional
V000160;6;4;5.0;2024-10-29 17:07:00;Endereço de entrega divergente do cadastro
V000161;15;18;5.0;2024-11-23 20:34:00;
V000162;5;2;3.0;2024-10-30 15:48:00;Compra feita via aplicação promocional
V000163;2;15;4.0;2024-11-03 11:54:00;Compra feita via aplicação promocional
V000164;9;13;3.0;2024-11-21 21:53:00;Cliente pediu embalagem para presente
V000165;6;11;2.0;2024-09-16 13:21:00;Endereço de entrega divergente do cadastro
V000166;8;8;3.0;2024-11-05 15:40:00;Cliente solicitou nota fiscal com CNPJ
V000167;9;8;5.0;2024-11-02 11:31:00;Entrega expressa solicitada
V000168;14;14;1.0;2024-08-04 10:55:00;
V000169;11;4;1.0;2024-11-03 15:55:00;Cliente solicitou nota fiscal com CNPJ
V000170;4;16;2.0;2024-08-06 15:49:00;Cliente solicitou nota fiscal com CNPJ
V000171;1;16;4.0;2024-09-13 16:33:00;Produto com defeito, aguardando troca
V000172;13;13;3.0;2024-11-29 14:41:00;
V000173;3;16;2.0;2024-12-05 10:50:00;Cliente pediu embalagem para presente
V000174;3;9;5.0;2024-09-10 10:39:00;Endereço de entrega divergente do cadastro
V000175;13;14;5.0;2024-10-09 17:11:00;Cliente pediu embalagem para presente
V000176;13;16;4.0;2024-09-28 22:58:00;
V000177;6;11;1.0;2024-09-02 16:17:00;
V000178;12;17;4.0;2024-11-18 22:37:00;
V000179;11;6;5.0;2024-11-09 11:56:00;
V000180;5;9;1.0;2024-09-14 19:36:00;Cliente pediu embalagem para presente
V000181;13;4;4.0;2024-11-23 18:33:00;Endereço de entrega divergente do cadastro
V000182;10;3;2.0;2024-11-20 18:54:00;
V000183;5;19;4.0;2024-09-23 18:50:00;
V000184;8;6;4.0;2024-12-05 11:00:00;Compra feita via aplicação promocional
V000185;10;17;2.0;2024-11-01 08:13:00;Produto com defeito, aguardando troca
V000186;6;13;3.0;2024-08-23 17:13:00;Cliente pediu embalagem para presente
V000187;2;3;4.0;2024-10-05 18:08:00;Entrega expressa solicitada
V000188;3;10;5.0;2024-08-24 08:53:00;Compra feita via aplicação promocional
V000189;7;17;1.0;2024-09-23 15:53:00;
V000190;6;13;3.0;2024-12-15 18:26:00;Cliente solicitou nota fiscal com CNPJ
V000191;4;18;3.0;2024-09-26 16:12:00;Cliente solicitou nota fiscal com CNPJ
V000192;1;20;2.0;2024-11-27 22:29:00;
V000193;15;20;2.0;2024-10-12 13:44:00;
V000194;14;17;3.0;2024-10-13 10:02:00;Cliente pediu embalagem para presente
V000195;10;15;4.0;2024-12-05 16:28:00;Cliente solicitou nota fiscal com CNPJ
V000196;14;11;4.0;2024-11-06 21:57:00;
V000197;4;17;4.0;2024-09-09 14:31:00;Compra feita via aplicação promocional
V000198;13;4;3.0;2024-10-19 11:40:00;Endereço de entrega divergente do cadastro
V000199;2;8;5.0;2024-08-11 12:07:00;Cliente pediu embalagem para presente
V000200;15;1;5.0;2024-12-17 10:18:00;Entrega expressa solicitada
V000201;6;9;3.0;2024-12-01 13:47:00;Entrega expressa solicitada
V000202;11;7;1.0;2024-08-23 16:11:00;Produto com defeito, aguardando troca
V000203;1;14;5.0;2024-12-18 15:33:00;Entrega expressa solicitada
V000204;7;11;5.0;2024-11-10 22:08:00;
V000205;4;4;5.0;2024-12-14 13:29:00;Compra feita via aplicação promocional
V000206;2;16;4.0;2024-12-04 09:53:00;Cliente solicitou nota fiscal com CNPJ
V000207;8;3;4.0;2024-09-18 15:35:00;Entrega expressa solicitada
V000208;14;10;2.0;2024-11-09 15:36:00;Cliente pediu embalagem para presente
V000209;1;3;2.0;2024-09-16 22:06:00;
V000210;9;16;4.0;2024-12-25 17:29:00;Cliente solicitou nota fiscal com CNPJ
V000211;10;8;2.0;2024-11-14 15:05:00;Compra feita via aplicação promocional
V000212;13;10;1.0;2024-09-15 19:24:00;
V000213;12;19;3.0;2024-12-26 11:12:00;Compra feita via aplicação promocional
V000214;3;10;1.0;2024-11-03 10:30:00;Cliente pediu embalagem para presente
V000215;3;15;1.0;2024-11-06 16:31:00;
V000216;8;11;1.0;2024-08-13 18:41:00;
V000217;4;18;3.0;2024-08-29 17:28:00;Cliente pediu embalagem para presente
V000218;15;8;1.0;2024-12-13 13:33:00;
V000219;9;13;2.0;2024-10-13 12:54:00;
V000220;8;19;4.0;2024-08-28 22:08:00;
V000221;5;10;3.0;2024-10-08 10:11:00;Produto com defeito, aguardando troca
V000222;5;18;1.0;2024-11-01 15:15:00;Produto com defeito, aguardando troca
V000223;11;11;5.0;2024-08-01 17:22:00;
V000224;3;16;4.0;2024-10-06 18:31:00;
V000225;2;6;4.0;2024-11-29 12:13:00;Endereço de entrega divergente do cadastro
V000226;11;2;4.0;2024-08-16 21:27:00;Compra feita via aplicação promocional
V000227;2;17;2.0;2024-08-02 16:53:00;Entrega expressa solicitada
V000228;14;12;1.0;2024-08-19 20:33:00;
V000229;7;20;4.0;2024-10-07 16:12:00;
V000230;15;5;3.0;2024-11-23 16:40:00;
V000231;9;3;1.0;2024-10-30 09:58:00;Produto com defeito, aguardando troca
V000232;9;9;5.0;2024-11-29 11:14:00;
V000233;12;6;2.0;2024-10-28 14:08:00;
V000234;2;16;3.0;2024-09-29 13:44:00;
V000235;10;9;2.0;2024-12-11 10:27:00;
V000236;9;9;2.0;2024-12-18 20:00:00;Compra feita via aplicação promocional
V000237;10;4;3.0;2024-10-14 09:28:00;Produto com defeito, aguardando troca
V000238;5;1;5.0;2024-12-10 15:33:00;
V000239;3;13;1.0;2024-08-14 19:24:00;Entrega expressa solicitada
V000240;9;19;2.0;2024-09-21 12:39:00;Endereço de entrega divergente do cadastro
V000241;3;10;4.0;2024-09-05 22:04:00;Cliente solicitou nota fiscal com CNPJ
V000242;5;15;1.0;2024-09-29 19:33:00;Cliente pediu embalagem para presente
V000243;15;4;3.0;2024-08-03 15:34:00;Endereço de entrega divergente do cadastro
V000244;6;11;4.0;2024-11-27 19:01:00;Endereço de entrega divergente do cadastro
V000245;13;11;1.0;2024-10-29 10:28:00;
V000246;1;13;2.0;2024-08-10 22:50:00;Cliente pediu embalagem para presente
V000247;14;20;1.0;2024-08-24 18:42:00;Entrega expressa solicitada
V000248;5;13;4.0;2024-10-18 15:27:00;Cliente pediu embalagem para presente
V000249;6;12;1.0;2024-08-11 08:33:00;Cliente pediu embalagem para presente
V000250;11;16;4.0;2024-12-02 12:54:00;
V000251;1;20;1.0;2024-08-04 13:00:00;Entrega expressa solicitada
V000252;2;16;2.0;2024-10-12 20:50:00;Cliente solicitou nota fiscal com CNPJ
V000253;11;14;5.0;2024-08-22 15:23:00;Entrega expressa solicitada
V000254;7;5;2.0;2024-08-27 20:17:00;Entrega expressa solicitada
V000255;7;20;1.0;2024-08-12 17:54:00;
V000256;7;11;1.0;2024-08-19 15:26:00;Cliente pediu embalagem para presente
V000257;10;20;4.0;2024-12-25 20:26:00;Compra feita via aplicação promocional
V000258;14;13;4.0;2024-12-25 09:42:00;
V000259;3;3;2.0;2024-08-21 08:40:00;
V000260;13;11;4.0;2024-11-16 10:20:00;Entrega expressa solicitada
V000261;1;2;1.0;2024-12-18 12:40:00;
V000262;4;8;1.0;2024-10-17 08:19:00;Produto com defeito, aguardando troca
V000263;5;2;1.0;2024-12-29 13:09:00;Compra feita via aplicação promocional
V000264;5;4;5.0;2024-08-11 20:21:00;
V000265;3;6;1.0;2024-12-25 15:04:00;
V000266;5;11;4.0;2024-11-26 08:54:00;
V000267;12;9;2.0;2024-08-22 18:54:00;Cliente solicitou nota fiscal com CNPJ
V000268;13;16;5.0;2024-10-20 18:15:00;Cliente solicitou nota fiscal com CNPJ
V000269;1;1;4.0;2024-10-17 16:58:00;
V000270;6;5;5.0;2024-12-01 18:19:00;Endereço de entrega divergente do cadastro
V000271;3;1;1.0;2024-11-30 14:37:00;Cliente solicitou nota fiscal com CNPJ
V000272;3;3;2.0;2024-09-20 21:37:00;Entrega expressa solicitada
V000273;6;12;2.0;2024-08-11 15:30:00;
V000274;6;7;1.0;2024-10-23 16:17:00;
V000275;15;8;2.0;2024-12-04 13:12:00;Compra feita via aplicação promocional
V000276;2;5;4.0;2024-10-03 16:35:00;Cliente solicitou nota fiscal com CNPJ
V000277;2;10;3.0;2024-12-20 17:33:00;Compra feita via aplicação promocional
V000278;12;12;1.0;2024-08-07 17:33:00;Compra feita via aplicação promocional
V000279;3;19;4.0;2024-08-18 20:19:00;
V000280;7;4;5.0;2024-11-10 12:03:00;
V000281;4;19;2.0;2024-11-18 17:16:00;Compra feita via aplicação promocional
V000282;1;14;1.0;2024-09-10 15:13:00;Entrega expressa solicitada
V000283;2;2;3.0;2024-08-07 19:11:00;
V000284;6;20;5.0;2024-08-23 13:41:00;Entrega expressa solicitada
V000285;7;13;5.0;2024-12-21 20:39:00;
V000286;13;13;2.0;2024-08-10 22:05:00;
V000287;6;3;2.0;2024-08-05 15:32:00;Compra feita via aplicação promocional
V000288;8;15;2.0;2024-08-30 22:48:00;
V000289;4;3;4.0;2024-12-11 22:32:00;Entrega expressa solicitada
V000290;8;10;4.0;2024-12-05 18:03:00;
V000291;4;6;3.0;2024-09-26 20:24:00;
V000292;10;6;3.0;2024-08-16 13:21:00;Cliente solicitou nota fiscal com CNPJ
V000293;2;19;5.0;2024-09-03 20:08:00;
V000294;13;13;4.0;2024-08-12 21:26:00;Entrega expressa solicitada
V000295;1;6;4.0;2024-09-16 18:01:00;
V000296;13;20;3.0;2024-10-23 22:37:00;Compra feita via aplicação promocional
V000297;13;3;2.0;2024-11-02 19:18:00;
V000298;5;9;2.0;2024-09-12 18:25:00;
V000299;2;2;5.0;2024-08-17 13:37:00;Entrega expressa solicitada
V000300;7;8;4.0;2024-08-14 20:57:00;
V000301;6;16;2.0;2024-11-13 17:11:00;Cliente pediu embalagem para presente
V000302;10;1;2.0;2024-11-02 20:53:00;Entrega expressa solicitada
V000303;4;2;4.0;2024-10-17 08:23:00;Endereço de entrega divergente do cadastro
V000304;13;1;2.0;2024-12-12 09:39:00;
V000305;8;11;2.0;2024-09-10 19:04:00;
V000306;4;14;5.0;2024-08-25 19:47:00;Cliente pediu embalagem para presente
V000307;2;12;4.0;2024-08-08 12:15:00;Produto com defeito, aguardando troca
V000308;5;18;2.0;2024-10-04 08:22:00;Cliente pediu embalagem para presente
V000309;9;16;5.0;2024-09-24 17:05:00;
V000310;7;11;1.0;2024-09-19 17:12:00;Produto com defeito, aguardando troca
V000311;7;15;5.0;2024-10-23 18:51:00;Compra feita via aplicação promocional
V000312;5;4;2.0;2024-10-17 19:49:00;Produto com defeito, aguardando troca
V000313;4;7;4.0;2024-11-19 11:11:00;
V000314;10;8;2.0;2024-12-20 20:03:00;
V000315;3;2;3.0;2024-11-18 09:45:00;
V000316;6;10;4.0;2024-12-13 09:24:00;
V000317;13;2;1.0;2024-10-14 19:07:00;Cliente pediu embalagem para presente
V000318;5;7;1.0;2024-08-10 10:17:00;
V000319;11;12;4.0;2024-11-20 19:19:00;Cliente solicitou nota fiscal com CNPJ
V000320;12;18;5.0;2024-10-22 19:16:00;
V000321;1;3;5.0;2024-10-28 16:50:00;Cliente solicitou nota fiscal com CNPJ
V000322;9;6;5.0;2024-12-03 09:26:00;Cliente solicitou nota fiscal com CNPJ
V000323;12;13;3.0;2024-10-22 15:55:00;Endereço de entrega divergente do cadastro
V000324;2;10;5.0;2024-12-27 19:19:00;Cliente pediu embalagem para presente
V000325;5;15;3.0;2024-12-18 18:07:00;Compra feita via aplicação promocional
V000326;5;11;2.0;2024-08-28 20:08:00;
V000327;12;15;1.0;2024-09-09 14:41:00;
V000328;13;14;2.0;2024-08-14 09:40:00;Cliente solicitou nota fiscal com CNPJ
V000329;5;18;4.0;2024-12-09 09:53:00;Cliente pediu embalagem para presente
V000330;14;11;4.0;2024-09-26 18:36:00;
V000331;2;5;4.0;2024-08-25 13:36:00;Endereço de entrega divergente do cadastro
V000332;15;6;1.0;2024-08-31 22:00:00;
V000333;1;17;3.0;2024-11-16 16:30:00;Produto com defeito, aguardando troca
V000334;6;2;5.0;2024-08-14 17:09:00;
V000335;10;14;5.0;2024-08-30 22:42:00;
V000336;10;14;5.0;2024-12-28 19:42:00;Compra feita via aplicação promocional
V000337;11;2;4.0;2024-11-29 19:12:00;Compra feita via aplicação promocional
V000338;1;18;1.0;2024-09-11 17:08:00;Compra feita via aplicação promocional
V000339;12;10;4.0;2024-11-16 16:13:00;Cliente solicitou nota fiscal com CNPJ
V000340;5;14;2.0;2024-08-05 08:51:00;Endereço de entrega divergente do cadastro
V000341;13;17;4.0;2024-12-28 09:03:00;Endereço de entrega divergente do cadastro
V000342;3;4;3.0;2024-08-30 19:03:00;Cliente solicitou nota fiscal com CNPJ
V000343;5;18;5.0;2024-12-10 20:26:00;Cliente solicitou nota fiscal com CNPJ
V000344;13;13;3.0;2024-09-30 18:41:00;Cliente solicitou nota fiscal com CNPJ
V000345;9;3;4.0;2024-10-25 09:56:00;
V000346;14;18;3.0;2024-09-12 19:25:00;Entrega expressa solicitada
V000347;15;14;1.0;2024-11-06 21:11:00;Cliente pediu embalagem para presente
V000348;4;3;1.0;2024-11-01 08:15:00;Entrega expressa solicitada
V000349;13;6;3.0;2024-12-14 12:53:00;Endereço de entrega divergente do cadastro
V000350;7;18;4.0;2024-09-03 12:22:00;
V000351;3;7;3.0;2024-08-01 11:08:00;
V000352;1;3;2.0;2024-08-07 15:58:00;Produto com defeito, aguardando troca
V000353;10;2;2.0;2024-08-21 19:09:00;
V000354;15;9;5.0;2024-08-01 19:02:00;
V000355;1;20;1.0;2024-08-28 09:49:00;Compra feita via aplicação promocional
V000356;9;6;4.0;2024-08-23 10:06:00;Endereço de entrega divergente do cadastro
V000357;2;19;2.0;2024-10-21 16:16:00;Compra feita via aplicação promocional
V000358;9;13;3.0;2024-09-23 17:08:00;
V000359;12;2;4.0;2024-09-30 16:11:00;
V000360;4;11;4.0;2024-10-02 10:24:00;
V000361;11;18;3.0;2024-10-30 20:08:00;Compra feita via aplicação promocional
V000362;10;20;1.0;2024-11-27 14:47:00;Cliente pediu embalagem para presente
V000363;15;2;4.0;2024-11-09 21:12:00;Entrega expressa solicitada
V000364;6;12;3.0;2024-11-12 17:43:00;Cliente solicitou nota fiscal com CNPJ
V000365;9;11;2.0;2024-10-07 22:28:00;Cliente solicitou nota fiscal com CNPJ
V000366;5;10;5.0;2024-12-17 11:09:00;
V000367;1;9;4.0;2024-11-13 18:40:00;Compra feita via aplicação promocional
V000368;13;7;3.0;2024-09-06 09:34:00;Entrega expressa solicitada
V000369;11;19;2.0;2024-09-15 21:35:00;
V000370;10;18;2.0;2024-11-29 21:59:00;Entrega expressa solicitada
V000371;5;10;2.0;2024-09-20 08:58:00;Endereço de entrega divergente do cadastro
V000372;10;8;2.0;2024-08-17 20:49:00;
V000373;14;6;1.0;2024-08-08 20:45:00;Produto com defeito, aguardando troca
V000374;1;2;1.0;2024-12-12 20:16:00;
V000375;10;18;5.0;2024-09-21 19:51:00;
V000376;5;16;2.0;2024-12-24 19:55:00;
V000377;8;16;4.0;2024-09-16 22:56:00;Cliente pediu embalagem para presente
V000378;11;17;1.0;2024-08-21 20:21:00;
V000379;15;8;5.0;2024-08-04 21:25:00;Cliente solicitou nota fiscal com CNPJ
V000380;7;13;1.0;2024-10-17 14:19:00;Entrega expressa solicitada
V000381;3;6;1.0;2024-11-25 08:14:00;Compra feita via aplicação promocional
V000382;2;10;2.0;2024-08-04 21:56:00;Cliente solicitou nota fiscal com CNPJ
V000383;14;2;2.0;2024-08-30 16:36:00;
V000384;8;12;2.0;2024-09-02 18:29:00;
V000385;3;8;4.0;2024-08-18 11:05:00;
V000386;13;8;5.0;2024-08-16 12:49:00;
V000387;13;17;2.0;2024-11-16 10:25:00;
V000388;13;3;3.0;2024-12-10 17:14:00;Cliente pediu embalagem para presente
V000389;5;5;4.0;2024-12-07 21:00:00;
V000390;11;14;4.0;2024-10-10 10:13:00;Produto com defeito, aguardando troca
V000391;1;2;1.0;2024-09-11 21:16:00;
V000392;12;10;3.0;2024-08-20 14:37:00;
V000393;6;12;3.0;2024-08-29 13:22:00;
V000394;6;6;4.0;2024-10-13 14:05:00;Entrega expressa solicitada
V000395;11;2;;2024-10-10 10:19:00;
V000396;11;7;4.0;2024-11-16 20:11:00;Compra feita via aplicação promocional
V000397;1;3;3.0;2024-12-21 22:51:00;Compra feita via aplicação promocional
V000398;8;2;3.0;2024-11-27 21:53:00;Produto com defeito, aguardando troca
V000399;2;4;2.0;2024-08-27 16:14:00;
V000400;9;13;1.0;2024-09-07 20:25:00;Endereço de entrega divergente do cadastro
V000401;7;2;2.0;2024-11-07 17:36:00;
V000402;15;11;2.0;2024-11-18 18:40:00;Endereço de entrega divergente do cadastro
V000403;9;18;2.0;2024-08-23 21:53:00;Produto com defeito, aguardando troca
